Datum,Nicht indexiert,Indexiert,Impressionen
2025-09-10,,,1955
2025-09-11,,,1653
2025-09-12,,,1271
2025-09-13,162,92,688
2025-09-14,164,90,836
2025-09-15,164,90,1628
2025-09-16,164,90,1505
2025-09-17,166,90,1217
2025-09-18,166,90,938
2025-09-19,166,90,995
2025-09-20,166,90,878
2025-09-21,171,89,1133
2025-09-22,171,89,1187
2025-09-23,171,89,1666
2025-09-24,168,90,1139
2025-09-25,168,90,1131
2025-09-26,168,90,917
2025-09-27,168,90,838
2025-09-28,169,90,949
2025-09-29,169,90,1340
2025-09-30,169,90,1600
2025-10-01,171,90,1513
2025-10-02,171,90,1094
2025-10-03,171,90,807
2025-10-04,171,90,871
2025-10-05,172,90,882
2025-10-06,172,90,1546
2025-10-07,172,90,1715
2025-10-08,177,88,1249
2025-10-09,177,88,1135
2025-10-10,177,88,1069
2025-10-11,177,88,723
2025-10-12,180,87,832
2025-10-13,180,87,1161
2025-10-14,180,87,1266
2025-10-15,178,87,1412
2025-10-16,178,87,1676
2025-10-17,178,87,1263
2025-10-18,178,87,915
2025-10-19,179,87,1230
2025-10-20,179,87,1272
2025-10-21,179,87,1424
2025-10-22,177,91,1057
2025-10-23,177,91,1094
2025-10-24,177,91,895
2025-10-25,177,91,781
2025-10-26,179,91,736
2025-10-27,179,91,1204
2025-10-28,179,91,1703
2025-10-29,181,90,1461
2025-10-30,181,90,1272
2025-10-31,181,90,1258
2025-11-01,181,90,823
2025-11-02,182,89,1276
2025-11-03,182,89,1451
2025-11-04,182,89,2286
2025-11-05,182,89,1606
2025-11-06,182,89,1189
2025-11-07,182,89,1101
2025-11-08,182,89,783
2025-11-09,182,89,1246
2025-11-10,182,89,1471
2025-11-11,182,89,1805
2025-11-12,182,89,1725
2025-11-13,182,89,1751
2025-11-14,182,89,1837
2025-11-15,182,89,828
2025-11-16,182,89,1396
2025-11-17,182,89,1630
2025-11-18,182,89,1567
2025-11-19,180,90,1989
2025-11-20,180,90,1898
2025-11-21,180,90,913
2025-11-22,180,90,627
