alte_url,neue_url,redirect_typ,prioritaet,kommentar
"/","/",unchanged,HOCH,"Homepage - behaelt URL"
"/zeiterfassungssystem-mit-chip/","/zeiterfassungssysteme/chip",301,KRITISCH,"Top-Ranking: zeiterfassung mit chip (Pos 3, 224 ETV)"
"/zeiterfassungssystem-mit-fingerabdruck/","/zeiterfassungssysteme/fingerabdruck",301,HOCH,"Ranking: zeiterfassung fingerprint (Pos 8, 14.6 ETV)"
"/zeiterfassungssystem-mit-gesichtserkennung/","/zeiterfassungssysteme/gesichtserkennung",301,HOCH,"Produkt-Hauptseite"
"/zeiterfassung-mit-chip-preise-ohne-abo-kosten/","/preise",301,MITTEL,"Preisseite Chip -> zentrale Preisseite"
"/preise-fur-zeiterfassung-mit-fingerabdruck/","/preise",301,MITTEL,"Preisseite Fingerabdruck -> zentrale Preisseite"
"/preise-fur-zeiterfassung-mit-gesichtserkennung/","/preise",301,MITTEL,"Preisseite Gesichtserkennung -> zentrale Preisseite"
"/preise-mitarbeiter-zeiterfassung/","/preise",301,MITTEL,"Alte Preisseite -> zentrale Preisseite"
"/zeiterfassung-fur-den-mittelstand/","/ueber-uns",301,MITTEL,"Ueber uns Seite"
"/referenzen-zeiterfassungsysteme/","/branchen",301,MITTEL,"Referenzen -> Branchen-Uebersicht"
"/digitale-zeiterfassung-fur-die-arztpraxis/","/branchen/arztpraxen",301,MITTEL,"Arztpraxis-Referenz -> Branchen-Seite"
"/zeiterfassung-fur-speditionen/","/branchen/logistik",301,MITTEL,"Spedition-Referenz -> Logistik-Branche"
"/zeiterfassung-im-kindergarten/","/branchen/kindergarten",301,MITTEL,"Kindergarten -> Branchen-Seite"
"/digitale-zeiterfassung-fuer-hotels/","/branchen/gastronomie",301,MITTEL,"Hotels -> Gastronomie-Branche"
"/digitale-zeiterfassung-fur-cafes/","/branchen/gastronomie",301,MITTEL,"Cafes -> Gastronomie-Branche"
"/digitale-zeiterfassung-fur-schulen/","/branchen/schulen",301,MITTEL,"Schulen -> Branchen-Seite"
"/mobile-zeiterfassung-handwerk-digital/","/branchen/handwerk",301,MITTEL,"Handwerk -> Branchen-Seite"
"/arbeitszeiterfassung-fur-kleinbetriebe/","/branchen/kleinbetriebe",301,MITTEL,"Kleinbetriebe -> Branchen-Seite"
"/webbasierte-zeiterfassung-fur-den-mittelstand/","/branchen/mittelstand",301,MITTEL,"Mittelstand -> Branchen-Seite"
"/faqs-digitale-zeiterfassungssysteme/","/ressourcen/faqs",301,MITTEL,"FAQs -> Ressourcen FAQs"
"/videos-zeiterfassung-fur-kleine-unternehmen/","/ressourcen/videoanleitungen",301,MITTEL,"Videos -> Videoanleitungen"
"/blog-rund-um-das-thema-zeiterfassung-von-zfdm/","/ressourcen/blog",301,MITTEL,"Blog-Index -> Ressourcen Blog"
"/blog-rund-um-das-thema-zeiterfassung-von-zfdm/page/2/","/ressourcen/blog",301,NIEDRIG,"Blog Pagination -> Blog-Index"
"/zeiterfassung-ohne-monatliche-kosten/","/ressourcen/blog/zeiterfassung-ohne-monatliche-kosten",301,HOCH,"Ranking: zeiterfassung ohne monatliche kosten (Pos 4, 10.1 ETV) - BLOG-POST PRUEFEN"
"/7-grunde-gegen-zeiterfassung-mit-excel/","/ressourcen/blog/zeiterfassung-mit-excel",301,MITTEL,"Blog-Post - SLUG PRUEFEN"
"/7-vorteile-digitale-zeiterfassung/","/ressourcen/blog/vorteile-digitale-zeiterfassung",301,MITTEL,"Blog-Post - SLUG PRUEFEN"
"/arbeitszeiterfassung-pflicht-in-deutschland/","/ressourcen/blog/arbeitszeiterfassung-pflicht",301,MITTEL,"Blog-Post - SLUG PRUEFEN"
"/digitale-zeiterfassung-fuer-kleinbetriebe/","/ressourcen/blog/digitale-zeiterfassung-kleinbetriebe",301,MITTEL,"Blog-Post - SLUG PRUEFEN"
"/digitale-zeiterfassung-fur-kleine-betriebe/","/ressourcen/blog/digitale-zeiterfassung-kleinbetriebe",301,MITTEL,"Blog-Post Duplikat - SLUG PRUEFEN"
"/effiziente-zeiterfassung-fur-unternehmen/","/ressourcen/blog/effiziente-zeiterfassung",301,MITTEL,"Blog-Post - SLUG PRUEFEN"
"/elektronische-zeiterfassungssysteme/","/ressourcen/blog/elektronische-zeiterfassungssysteme",301,MITTEL,"Blog-Post - SLUG PRUEFEN"
"/mobile-zeiterfassung-fur-unterwegs-vor-ort/","/ressourcen/blog/mobile-zeiterfassung",301,MITTEL,"Blog-Post - SLUG PRUEFEN"
